Genus,Species,Family,Common.name,AOU,Banding_timing,Start,End,Migration,Partial,Note,Age.cohort.timing,Flocking,Flock.size,Flock.structure,Family.grouping,Altitudinal,Comments,Timing.of.migration,Flight.call.from.BOTW,MFC.from.oldbird.org,X,Maximum.flock.size,Maximum.flock.size..conspecifics.only.,Maximum.flock.size.while.travelling,Male.body.mass..g.,Migration.distance,Timing.of.migration.1,References
Anas,crecca,Anatidae,Green-winged Teal,1390,Adults first,230,340,Partial,Yes,Nearly complete,Concurrent,Common,Large,Tight,,,,night,Yes,,NA,2500,2500,200,350,short,night,Johnson 1995; Kear 2005; Baldassarre & Bolen 1984; Bellrose 1976
Gelochelidon,nilotica,Laridae,Gull-billed Tern,630,,NA,NA,Partial,Yes,,,Common,,,,,,,,,NA,6,6,NA,578,short,,Nol & Humphrey 1994; Nol et al. 2000; Myers & Myers 1979
Falco ,rusticolus,Falconidae,Gyrfalcon,3540,,NA,NA,Partial,Yes,,Concurrent,No,,,,,,day,,,NA,15,2,NA,19,long,night,Byers et al. 1995; Ammon 1995; Marshall 1960
Empidonax ,hammondii,Tyrannidae,Hammond's Flycatcher,4680,Concurrent,230,340,Complete,No,,,,,,,,,night,,,NA,1,1,NA,12.7,long,night,Sedgwick 2000
Histrionicus,histrionicus,Anatidae,Harlequin Duck,1550,,NA,NA,Partial,Yes,,,Common,Small,,,,,,No,,NA,150,150,25,11900,short,night,Mitchell & Eichholz 2010; Henson & Cooper 1994; Kear 2005; Cooper et al. 1991
Zonotrichia,querula,Passerellidae,Harris's Sparrow,5530,Adults first,270,350,Complete,No,,Adults first,Common,Small,,,,,night,,Yes,NA,20,20,74,1330.9,short,night,Stout & Nuechterlein 1999; Binford & Youngman 2010; Clowater 1998
Centronyx,henslowii,Passerellidae,Henslow's Sparrow,5470,,NA,NA,Complete,No,,,,,,,,,night,,Yes,NA,25,3,NA,7.2,long,night,Curson et al. 1994; Eaton 1953; Bennett 1980; Rappole & Warner 1980; Willis 1973; Latta & Wunderle 1996; Jones et al. 2000 ;Thomas 1993; Sherry & Holmes 1997; Post 1978; Hall 1981; Stewart 1983; Hamel & Kirkconnell 2005; Rodewald & Brittingham 2002; Bakermans 2008
Piranga ,flava,Cardinalidae,Hepatic Tanager,6090,,NA,NA,Partial,Yes,,,Common,Small,,,Some,,,,,NA,100,100,40,130,long,night,Johnson & Connors 2010; Johnson et al. 2004; Johnston & McFarlane 1967; Gerasimov & Gerasimov 2000; Stinson et al. 1997
Catharus,guttatus,Turdidae,Hermit Thrush,7590,Adults first,250,350,Partial,Yes,,Concurrent,,,,,,,night,,Yes,NA,NA,1,NA,27.5,long,night,Lowther et al. 2001; Thomas 1993; Bakermans 2008
Setophaga,occidentalis,Parulidae,Hermit Warbler,6690,,NA,NA,Complete,No,,,Common,Small,,,Some,Mixed Species flocks,,,,NA,30,4,NA,8.8,short,night,Guzy & Lowther 1997; Curson et al. 1994; Hutto 1997; Austin & Smith 1972; Dobbs & Martin 1998
