Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Falco,peregrinus,Falconidae,Peregrine Falcon,3560,,,,,,Partial,,,1,,Solo,,,,,day,night,day,,,,34,34,21.4,short,-10936.35257,5001.210068,167.9430319,834.8345966,4710.0115,1563.815599,6522.9007,2077.463435
Phainopepla,nitens,Bombycillidae,Phainopepla,6200,,Concurrent,Concurrent,,,Complete,,Yes,40,Small,Small,Loose,,,,,day,day,,,,1,1,109.9,short,-59.34461452,510.1973238,-1504.687767,701.4693052,8026.849133,2867.185874,5137.491876,1979.300336
Vireo,philadelphicus,Vireonidae,Philadelphia Vireo,6260,,,,,,Complete,,Yes,,,,,,,Mixed species flocks,night,night,night,,No,No,1,1,8.6,short,,,1603.840499,-701.5486393,,,4839.571969,3220.565005
Podilymbus,podiceps,Podicipedidae,Pied-billed Grebe,60,,,,,,Partial,,Yes,,Small,Small,,,,Flocks may be medium or large,night,day,night,,,,12,12,115.2,long,,,-340.8458596,567.6376022,,,951.75349,1455.226711
Spinus,pinus,Fringillidae,Pine Siskin,5330,Concurrent,,Concurrent,250,350,Partial,Irruptive,Yes,30,Medium,Medium,,,,Large flocks noted,day,night,day,,Yes,Yes,1610,1610,34.8,long,,,2271.217474,-1089.398734,,,3721.50111,3094.482679
Setophaga,pinus,Parulidae,Pine Warbler,6710,Adults first,,Adults first,240,340,Partial,,Sometimes,,Small,Small,,,,Mixed Species flocks,night,night,night,,Yes,Yes,5,1,18.9,short,1007.03132,-1533.77488,2133.258829,5581.130785,2097.204479,2813.471221,661.8005937,467.2095321
Charadrius,melodus,Charadriidae,Piping Plover,2770,Adults first,,Adults first,190,300,Complete,,Yes,50,Small,Small,,,,,,day,day,,,,200,200,130,short,-2300.451072,-91.27489247,,,8415.753054,7260.135392,,
Vireo,plumbeus,Vireonidae,Plumbeous Vireo,6292,,,,,,Partial,,No,,,Solo,,,,,,,,,,,40,,14.3,long,,,2144.04126,-1152.831795,,,79249.78498,39368.84208
Stercorarius,pomarinus,Stercorariidae,Pomarine Jaeger,360,,,,,,Complete,,Sometimes,1,Small,Small,,,,,day,night,day,,,,1,1,53.9,short,8692.807299,2539.889834,,,10635.25006,3517.599379,,
Falco,mexicanus,Falconidae,Prairie Falcon,3550,,,,,,Partial,,Sometimes,250,Small,Small,,,,,day,night,day,,,,,155,28.1,long,931.4920752,1086.5512,-876.0709804,637.9467058,1448.243061,453.0032587,2013.45444,484.0722371
Setophaga,discolor,Parulidae,Prairie Warbler,6730,Adults first,,Adults first,200,330,Partial,,Sometimes,,Small,Small,Loose,,,,night,night,night,,Yes,Yes,41,20,13.1,short,153.9812392,-1075.190783,-106.6234173,144.198254,4399.456025,3637.368506,1238.882776,574.5371085
Protonotaria,citrea,Parulidae,Prothonotary Warbler,6370,,Concurrent,Concurrent,,,Complete,,Sometimes,,Small,Small,,,Sometimes,,night,,night,,Yes,Yes,1,1,13.75,long,,,2188.975215,3658.657828,,,943.3693524,1109.397641
Haemorhous,purpureus,Fringillidae,Purple Finch,5170,,Juveniles first,Juveniles first,,,Partial,,Yes,,,,,,Sometimes,,day,night,day,,Yes,Yes,15,3,29.1,short,,,-3356.006384,566.9912077,,,887.0831013,503.7186167
Porphyrio,martinica,Rallidae,Purple Gallinule,2180,,,,,,Partial,,,,,,,,,,night,night,night,,,,125,125,39.7,long,4400.135386,-921.4849171,263.484386,100.5310449,10165.80648,10348.80303,4854.465139,13987.56531
Progne,subis,Hirundidae,Purple Martin,6110,Concurrent,Concurrent,Concurrent,200,250,Complete,,Yes,,Medium,Medium,,,,Flocks can be large,day,night,day,,No,No,250,250,37.9,long,,,1588.270803,7.073401495,,,935.4997287,685.2169258
Alca,torda,Alcidae,Razorbill,320,,Concurrent,Concurrent,,,Dispersive,,,,,,,Yes,,Offspring pair with parent at first but then split during migration,,,,No,,No,12971,1145,734.5,short,-1843.373944,-9040.439824,,,62495.37858,24786.24536,,
Calidris,canutus,Scolopacidae,Red Knot,2340,,,,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium,night,night,night,Yes,,Yes,,300,375,long,2621.214206,3537.788137,,,38985.58116,28209.09346,,
Phalaropus,fulicarius,Scolopacidae,Red Phalarope,,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium,night,,night,,,,330,158,112.5,long,,,,,,,,
Mergus,serrator,Anatidae,Red-breasted Merganser,1300,,Concurrent,Concurrent,,,Complete,,Yes,,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,,night,,,,300,300,1117,long,,,1798.798978,227.596425,,,8301.448987,9261.968815
Sphyrapicus,ruber,Picidae,Red-breasted Sapsucker,4030,,,,,,Partial,,Sometimes,,Small,Small,,,Sometimes,,,,,,,,174,174,170,short,,,144.7387329,2637.827525,,,3714.972659,1180.534815
Vireo,olivaceus,Vireonidae,Red-eyed Vireo,6240,Adults first,Concurrent,Concurrent,220,320,Complete,,Yes,,,,,,,Juvenile migration period more protracted. Mixed species flocks,night,,night,No,No,No,,2,17.9,short,,,678.2996605,624.860901,,,294.3352642,124.2993907
Cardellina,rubrifrons,Parulidae,Red-faced Warbler,6900,,,,,,Complete,Limited residency possible,Yes,100,Small,Small,,,,Mixed Species flocks,,,,,,,,10,116.1,short,,,-577.030536,165.2433403,,,13792.55491,8423.586529
Melanerpes,erythrocephalus,Picidae,Red-headed Woodpecker,4060,,Adults first,Adults first,,,Partial,,Yes,1,Small,Small,,,,,night,night,night,Yes,Yes,Yes,1,1,415,short,,,1815.29306,-4349.835139,,,294.5786125,315.6414819
Sphyrapicus,nuchalis,Picidae,Red-naped Sapsucker,4021,Adults first,,Adults first,230,300,Partial,,,1,,Solo,,,,,,night,night,,,,1,1,321.7,short,,,4007.890301,-4361.560627,,,2610.859392,1878.718676
Podiceps,grisegena,Podicipedidae,Red-necked Grebe,20,,,,,,Complete,,Yes,,Small,Small,,,,,night,,night,,,,20,20,186.8,long,25702.45052,-2193.38206,14831.28364,-2775.008457,6548.917777,4355.607726,11218.249,10341.32064
Phalaropus,lobatus,Scolopacidae,Red-necked Phalarope,2230,Adults first,Adults first,Adults first,190,270,Complete,,Yes,10000,,Large,,,,,night,night,night,,,,800,200,123,long,,,,,,,,
Buteo,lineatus,Accipitridae,Red-shouldered Hawk,3390,,Juveniles first,Juveniles first,,,Partial,,Sometimes,3,Small,Small,Loose,,,,day,day,day,No,,No,1,1,543.5,short,,,-659.0776975,3808.361467,,,652.6832231,584.0389259
Buteo,jamaicensis,Accipitridae,Red-tailed Hawk,3370,,Juveniles first,Juveniles first,,,Partial,,Sometimes,9,Small,Small,Loose,,,,day,day,day,No,,No,1,1,1028,long,-1561.837646,4778.629424,4156.244498,112.8447435,768.1959175,521.7433396,333.0467246,137.7197592
Gavia,stellata,Gaviidae,Red-throated Loon,110,,Adults first,Adults first,,,Complete,,Yes,3000,Small,Small,Loose,,,,day,night,day,Yes,,Yes,100,20,12,long,21532.13824,-2458.141769,,,6325.128552,1868.692046,,
Agelaius,phoeniceus,Icteridae,Red-winged Blackbird,4980,,,,,,Partial,,Yes,1,Small,Small,,,,,day,day,day,,Yes,Yes,1,1,1100,long,,,-4071.739736,2413.336975,,,243.8039455,169.2699276
Aythya,americana,Anatidae,Redhead,1460,,,,,,Complete,Limited residency reported,Yes,1000,Small,Small,Tight,,,,,night,night,,,,15000,800,838,long,,,5066.08195,3009.373095,,,3873.126659,4065.410112
Larus,delawarensis,Laridae,Ring-billed Gull,540,,,,,,Partial,,Yes,1000,Medium,Medium,Loose,,,Flocks may be small,day,day,day,Yes,,Yes,12333,12333,70.5,short,,,20550.60622,-636.4158351,,,5723.411325,3413.43131
Aythya,collaris,Anatidae,Ring-necked Duck,1500,,Concurrent,Concurrent,,,Complete,Potentially very limited residency,Yes,35,Small,Small,Tight,,,Adult males migrate before adult females and young.,night,,night,,,,1000,1000,1078,long,-13345.66541,9569.951317,-582.6410621,-2055.710373,14279.63705,8220.484647,4124.585105,5565.000239
Calidris,ptilocnemis,Scolopacidae,Rock Sandpiper,2356,,,,,,Complete,,Yes,5,Small,Small,,,,Flocks may be medium,day,night,day,,,,4,4,155.8,short,-803.6491906,-2136.266891,,,55898.09232,18176.47196,,
Salpinctes,obsoletus,Troglodytidae,Rock Wren,7150,,,,,,Partial,,,,,,,,Sometimes,,night,night,night,,,,,2,16.5,short,-2411.837307,2512.077057,-1379.602885,659.5210391,3096.747098,1887.053373,1953.893026,606.558283
Pheucticus,ludovicianus,Cardinalidae,Rose-breasted Grosbeak,5950,,Concurrent,Concurrent,,,Complete,,Sometimes,,Small,Small,,,,,night,night,night,Yes,Yes,Yes,56,56,46.1,long,7674.911029,-2439.141531,-5738.772596,-1128.5116,14408.25214,4298.561963,549.9226715,274.5327818
Sterna,dougallii,Laridae,Roseate Tern,720,,Concurrent,Concurrent,,,Partial,,Yes,,,,,,,,,,,,,,30,,36.3,short,,,,,,,,
Anser,rossii,Anatidae,Ross's Goose,1700,,Concurrent,Concurrent,,,Complete,,Yes,100,Large,Large,Tight,Yes,,,,night,night,Yes,,Yes,1000,1000,908,short,19305.87861,528.3300467,,,42720.86863,102976.9198,,
Buteo,lagopus,Accipitridae,Rough-legged Hawk,3470,,,,,,Complete,,Sometimes,10,Small,Small,,,,,day,day,day,No,,No,1,1,1027,long,2825.912261,7286.71184,,,2069.681584,1064.593092,,
Thalasseus,maximus,Laridae,Royal Tern,650,,Concurrent,Concurrent,,,Partial,,Yes,2000,Small,Small,,Yes,,,,day,day,,,,12333,,94.5,long,-3987.123678,569.9082562,-3904.108472,-1247.930844,7208.978092,7001.756502,6888.366813,4997.336267
Corthylio,calendula,Regulidae,Ruby-crowned Kinglet,7490,Adults first,,Adults first,240,330,Complete,,,100,,Small,,,Sometimes,,night,,night,No,No,No,30,30,35.9,long,-10163.59823,4755.611498,-6349.333485,-2675.491635,927.5798378,713.9028941,1405.617068,1145.022885
Archilochus,colubris,Trochilidae,Ruby-throated Hummingbird,4280,Adults first,Adults first,Adults first,220,300,Complete,,No,1,,Solo,,,,,day,day,day,,No,No,1,1,3.08,long,-557.8515865,9473.284869,389.2722659,2283.173116,5561.258208,5837.526349,457.1008156,221.5524636
Oxyura,jamaicensis,Anatidae,Ruddy Duck,1670,,,,,,Partial,,Yes,,Small,Small,,,,,night,night,night,,,,400,400,1712,short,,,3708.690981,1899.667262,,,3563.80585,3825.438683
Arenaria,interpres,Scolopacidae,Ruddy Turnstone,2830,,Adults first,Adults first,,,Complete,,Yes,,Small,Small,,,,Flocks may be medium,,night,night,,,,,100,100,long,985.9517379,1179.938682,,,4817.715971,3938.021875,,
Selasphorus,rufus,Trochilidae,Rufous Hummingbird,4330,Adults first,Adults first,Adults first,170,270,Complete,,No,,,Solo,,,,,day,,day,,No,No,1,1,3.27,long,10209.43305,5855.391007,1372.262456,894.6566302,3941.642785,8622.779395,2862.248681,1493.510339
Euphagus,carolinus,Icteridae,Rusty Blackbird,5090,Adults first,Concurrent,Concurrent,250,320,Complete,,Yes,60,Medium,Medium,,,,Flocks can be large,day,night,day,,Yes,Yes,50,50,12.7,short,,,-250.6588024,-892.51549,,,8680.940503,5443.182565
Xema,sabini,Laridae,Sabine's Gull,620,,Adults first,Adults first,,,Complete,,Yes,1,Small,Small,,,,,night,day,night,,,,1,1,47.7,short,,,,,,,,
Oreoscoptes,montanus,Mimidae,Sage Thrasher,7020,Concurrent,,Concurrent,220,300,Complete,,Sometimes,,,,,,,,,,,,,,10000,1000,1747,short,1309.267411,347.619995,582.2542024,-235.2951908,10722.92283,5501.046743,1653.640392,341.6998347
Ammospiza,caudacuta,Passerellidae,Saltmarsh Sparrow,5490,,,,,,Partial,,,,,,,,,,night,night,night,,Yes,Yes,,5,8.1,short,,,,,,,,
Calidris,alba,Scolopacidae,Sanderling,2480,,Adults first,Adults first,,,Complete,,Yes,150,Small,Small,,,,,night,night,night,,,,,,282.1,long,8371.501057,-3649.456674,,,7224.737348,3020.072241,,
Antigone,canadensis,Gruidae,Sandhill Crane,2060,,Concurrent,Concurrent,,,Partial,,Sometimes,,Small,Small,Tight,Yes,,,day,night,day,Yes,,Yes,27,,13.1,short,-3039.658608,3492.493142,23917.23379,4704.869575,87574.73646,42883.4729,2771.854549,1112.149151
Thalasseus,sandvicensis,Laridae,Sandwich Tern,670,,,,,,Partial,,Yes,,,,,,,,,day,day,,,,1,1,63.4,short,1041.070665,-349.0646813,,,9131.66629,9174.109819,,
Passerculus,sandwichensis,Passerellidae,Savannah Sparrow,5420,Concurrent,,Concurrent,250,350,Partial,,Yes,,,,,,,,night,night,night,,Yes,Yes,50,2,8.06,long,,,-13481.63428,3552.088822,,,711.5358922,376.2635
Sayornis,saya,Tyrannidae,Say's Phoebe,4570,,,,,,Partial,,Sometimes,,Small,Small,,,,,day,day,day,,,,1,1,21.2,long,,,-1529.896946,1855.265755,,,966.5857831,300.1458705
Piranga,olivacea,Cardinalidae,Scarlet Tanager,6080,Adults first,Concurrent,Concurrent,270,320,Complete,,Sometimes,100,Small,Small,,,,,night,night,night,,Yes,Yes,50,50,225,long,,,-1627.66571,-2315.492935,,,635.2893749,171.8805882
Tyrannus,forficatus,Tyrannidae,Scissor-tailed Flycatcher,4430,Concurrent,,Concurrent,180,250,Complete,,Yes,10000,Small,Small,,,,,night,day,night,,No,No,250,20,38,long,-30332.45623,4500.838834,-236.6327929,740.4038301,6146.368766,10392.78267,117.5335856,481.0304861
Icterus,parisorum,Icteridae,Scott's Oriole,5040,,Concurrent,Concurrent,,,Partial,,Yes,,Small,Small,,,,,,,,,,,50,50,28.3,short,,,1473.926968,-714.9583374,,,2240.659946,1338.412671
Ammospiza,maritima,Passerellidae,Seaside Sparrow,5500,,,,,,Partial,,,,,,,,,,night,night,night,Yes,Yes,Yes,25,3,7.4,long,5156.638327,1188.77228,-8879.189906,-8882.060688,11031.53889,9419.730166,5337.584919,5091.733481
Cistothorus,stellaris,Troglodytidae,Sedge Wren,7240,Concurrent,,Concurrent,250,320,Complete,,Yes,,,,,,,Mixed species flocks,night,night,night,,No,No,2,2,8.25,short,,,-3535.715484,1183.214072,,,393.7984148,1667.928187
Charadrius,semipalmatus,Charadriidae,Semipalmated Plover,2740,Adults first,Adults first,Adults first,200,300,Complete,,Yes,,,,,,,,night,night,night,Yes,,Yes,,1,58.8,long,1259.219482,2942.646018,,,19204.69894,13878.53166,,
Calidris,pusilla,Scolopacidae,Semipalmated Sandpiper,2460,Adults first,Adults first,Adults first,180,300,Complete,,Yes,15,,Small,,,,,night,night,night,,,,40,40,86.4,long,17046.6383,-8676.975313,,,152486.9149,128832.4167,,
Accipiter,striatus,Accipitridae,Sharp-shinned Hawk,3320,Juveniles first,Juveniles first,Juveniles first,230,320,Partial,Year-round in S. America.,Sometimes,3,Small,Small,,,,,day,day,day,No,,No,1,1,103,short,-325.6467863,6101.548944,876.1928894,109.0720783,473.3570123,364.0896935,993.0938448,543.1974312
Limnodromus,griseus,Scolopacidae,Short-billed Dowitcher,2310,Adults first,Adults first,Adults first,200,320,Complete,,Yes,,Medium,Medium,,,,Flocks may be small or large,night,night,night,,,,17,17,68.5,long,5473.023014,6635.657955,,,58589.37913,83691.70055,,
Larus,brachyrhynchus,Laridae,Short-billed Gull,,,,,,,Complete,Limited residency reported. Mew gull in banding,,320,,Medium,,,,,,day,day,,,,70,70,21.3,long,,,,,,,,
Asio,flammeus,Strigidae,Short-eared Owl,3670,,,,,,Partial,,No,,,Solo,,,,Irruptive,,,,,No,No,12971,503,2932,short,3961.091109,-3283.367839,321.5075217,-1269.259569,3982.398302,3149.258405,5987.978385,4510.033039
Calcarius,pictus,Calcariidae,Smith's Longspur,5370,,,,,,Complete,,Yes,,Medium,Medium,,,,Flocks can be small,night,day,night,,No,No,100,100,49.9,short,,,,,,,,
Plectrophenax,nivalis,Calcariidae,Snow Bunting,5340,Juveniles first,,Juveniles first,230,320,Complete,Limited residency reported,Yes,,Small,Small,Loose,,,,night,night,night,,Yes,Yes,,3,15.4,long,,,,,,,,
Anser,caerulescens,Anatidae,Snow Goose,1690,,Concurrent,Concurrent,,,Complete,lesser/greater seperated in banding,Yes,35,Large,Large,Tight,Yes,,,night,night,night,Yes,,Yes,2500,2500,1246,short,,,,,,,,
Egretta,thula,Ardeidae,Snowy Egret,1970,,,,,,Partial,,,,,,,,,,night,night,night,,,,955,398,369,short,-1110.224507,2424.201523,288.671366,-2172.237528,2115.695934,2868.913746,2865.586568,6949.904101
Bubo,scandiacus,Strigidae,Snowy Owl,3760,,,,,,Partial,,No,,,Solo,,,,Irruptive,night,night,night,,No,No,26,2,30.3,long,7705.614555,-2423.751414,,,3206.300795,5132.856421,,
Charadrius,nivosus,Charadriidae,Snowy Plover,2780,,,,,,Partial,,,2000,,Large,,,,,,day,day,,,,1000,1000,538,short,-4302.51876,1294.627635,1.03E-12,4.22E-14,8145839095,5863836431,66463.18468,5945.704259
Tringa,solitaria,Scolopacidae,Solitary Sandpiper,2560,,,,,,Complete,,Sometimes,1,Small,Small,,,,,night,night,night,Yes,,Yes,1,1,261,short,-4841.1373,1486.001264,-1822.885295,420.0271092,1288.930748,5669.608839,7449.112696,10586.69876
Melospiza,melodia,Passerellidae,Song Sparrow,5810,Concurrent,,Concurrent,220,330,Partial,,,,,,,,,,night,night,night,,Yes,Yes,5,1,10.3,long,,,-1838.934988,-537.9326563,,,269.7950264,116.2411376
Porzana,carolina,Rallidae,Sora,2140,,,,,,Partial,,Yes,25,Small,Small,,,,Flocks may be medium,night,night,night,,,,150,150,56.5,long,-15839.48449,6102.970469,211.0109661,-398.9317319,4176.316441,3385.065882,1049.940153,2047.832985
Somateria,fischeri,Anatidae,Spectacled Eider,,,,,,,Complete,,Yes,30,Small,Small,Tight,,,,day,,day,,,,1500,1500,887,short,,,,,,,,
Actitis,macularius,Scolopacidae,Spotted Sandpiper,2630,Adults first,Adults first,Adults first,180,300,Complete,,Sometimes,1100,Small,Small,,,,,night,night,night,,,,125,125,117,long,-2620.074239,1886.143757,-9104.019206,1039.596368,4056.753461,2026.220575,1197.787049,917.704862
Pipilo,maculatus,Passerellidae,Spotted Towhee,5880,,,,,,Partial,,,,,,,,,,night,,night,,No,No,500,83,1750,short,-7314.924044,7688.077225,-1160.811933,4582.912585,2035.393362,788.7747175,1913.485304,778.506709
Anthus,spragueii,Motacillidae,Sprague's Pipit,7000,,,,,,Complete,,No,,,Solo,,,,,day,,day,,No,No,15700,15700,657,long,13560.52598,-386.6733084,429.9130539,-2432.714465,21379.14351,38758.83534,3097.116541,4127.14176
Polysticta,stelleri,Anatidae,Steller's Eider,,,Concurrent,Concurrent,,,Complete,,Yes,15,Small,Small,Tight,,,,,night,night,Yes,,Yes,36,36,1082,short,,,,,,,,
Calidris,himantopus,Scolopacidae,Stilt Sandpiper,2330,,Adults first,Adults first,,,Complete,,Yes,31,Small,Small,,,,,night,night,night,Yes,,Yes,6,6,497.4,long,-2876.49814,2093.363319,,,7474.436074,27264.05965,,
Myiodynastes,luteiventris,Tyrannidae,Sulphur-bellied Flycatcher,4510,,,,,,Complete,,,,,,,,,,,,,,,,,5,46.7,short,,,,,,,,
Piranga,rubra,Cardinalidae,Summer Tanager,6100,Adults first,,Adults first,250,330,Complete,,,,,,,,,,night,night,night,,,,50,50,145,long,5963.078653,-5557.627431,-2406.097048,311.2237674,2507.405084,4826.340423,400.6259163,291.3470929
Melanitta,perspicillata,Anatidae,Surf Scoter,1660,,Adults first,Adults first,,,Complete,,Yes,,,,,,,,night,night,night,,,,10,10,554,short,3840.208743,1569.617875,,,10010.72985,3465.994385,,
Calidris,virgata,Scolopacidae,Surfbird,2820,,Adults first,Adults first,,,Complete,,Yes,700,Medium,Medium,,,,,,night,night,,,,7,7,164,long,-681.9283455,-3983.338117,,,31488.94492,8555.913948,,
Buteo,swainsoni,Accipitridae,Swainson's Hawk,3420,,Concurrent,Concurrent,,,Complete,,Yes,10000,Large,Large,,,,,day,day,day,No,,No,12000,12000,808,long,4657.985859,-11700.69461,-2171.500494,-976.3449093,4198.858201,11717.9436,620.1820462,383.1659983
