Genus,Species,Family,Common_name,AOU,Banding_cohort_timing,BOTW_cohort_timing,Combined_Cohort_Timing,Start,End,Migration,Note,Flocking,Max_flock_size_travelling,Flock_size,Combined_Flock_Size,Flock_structure,Family_grouping,Altitudinal,Comments,BOTW_migration_timing,Beauchamp_migration_timing,Combined_Migration_Timing,BOTW_MFC,Evans_MFC,Combined_MFC,Max_flock_size,Max_flock_size_conspecifics,Male_mass_g,Mig_distance,CBC_Lon_slope,CBC_Lat_slope,BBS_Lon_slope,BBS_Lat_slope,CBC_Lon_slope_Error,CBC_Lat_slope_Error,BBS_Lon_slope_Error,BBS_Lat_slope_Error
Empidonax,traillii,Tyrannidae,Willow Flycatcher,4660,Adults first,Adults first,Adults first,220,290,Complete,,,,,,,,,,night,night,night,,No,No,50,1,10.59,long,,,8495.631251,-782.6259847,,,971.705579,539.6847253
Phalaropus,tricolor,Scolopacidae,Wilson's Phalarope,2240,Adults first,Adults first,Adults first,180,250,Complete,,Yes,,,,,,,,night,,night,,,,155,100,475,short,-3018.903842,-7669.165336,2135.442475,2397.433858,1073130.709,5265118.781,2673.718976,2989.606077
Gallinago,delicata,Scolopacidae,Wilson's Snipe,2300,Concurrent,,Concurrent,270,350,Partial,,Yes,,,,,,,,night,,night,Yes,,Yes,250,250,99.4,long,,,3027.838807,3416.630357,,,826.8336563,779.2706993
Cardellina,pusilla,Parulidae,Wilson's Warbler,6850,Concurrent,Concurrent,Concurrent,220,330,Complete,,Sometimes,,Small,Small,,,,Mixed Species flocks,night,night,night,,Yes,Yes,50000,161,1224,short,-7621.360998,3841.317914,284.2100214,602.1493541,2446.215521,4381.046616,1742.815652,841.9743953
Troglodytes,hiemalis,Troglodytidae,Winter Wren,7222,,,,,,Partial,,,,,,,,,,night,night,night,,No,No,13,2,9.4,short,,,-1182.658318,95.48723448,,,1556.276173,915.440993
Aix,sponsa,Anatidae,Wood Duck,1440,Concurrent,,Concurrent,270,330,Partial,,Yes,12,Small,Small,Tight,,,,night,night,night,,,,50,50,694,short,-5074.689238,3199.148779,-870.3128447,2863.334729,2326.627823,2744.300959,758.29226,492.519497
Hylocichla,mustelina,Turdidae,Wood Thrush,7550,Concurrent,,Concurrent,260,320,Complete,,,1,,Solo,,,,,night,night,night,,Yes,Yes,6,6,47.8,long,3006.251356,880.9229909,-4366.661416,-3066.254311,2491.500768,11848.22305,475.3643035,182.3433805
Helmitheros,vermivorum,Parulidae,Worm-eating Warbler,6390,Adults first,,Adults first,220,300,Complete,,,100,,Small,,,,,night,night,night,,Yes,Yes,2000,2000,196,long,,,595.6662631,846.3247947,,,1636.00912,405.0906154
Coturnicops,noveboracensis,Rallidae,Yellow Rail,2150,,Adults first,Adults first,,,Complete,,Yes,100,,Small,,,,,night,night,night,,,,150,150,61,long,-1167.827271,-342.2088742,-861.8292764,785.913919,5103.090931,23832.74743,5678.08551,20433.70284
Setophaga,petechia,Parulidae,Yellow Warbler,6520,Concurrent,,Concurrent,240,320,Complete,,Yes,,,,,,,,night,night,night,Yes,Yes,Yes,1,1,25.6,short,-12193.17375,3831.346296,-1104.160972,998.8901737,14737.17741,5355.796026,416.5111226,305.0356258
Empidonax,flaviventris,Tyrannidae,Yellow-bellied Flycatcher,4630,,Adults first,Adults first,,,Complete,,Yes,1,,Solo,,,,,night,,night,No,No,No,1,1,10.4,long,,,1601.372501,1160.643093,,,3196.485439,2360.094792
Sphyrapicus,varius,Picidae,Yellow-bellied Sapsucker,4020,Concurrent,,Concurrent,200,350,Complete,,Sometimes,,Small,Small,Loose,,,,night,night,night,No,No,No,60,9,6.9,long,,,436.3061883,-1294.736819,,,1356.237587,705.8340765
Coccyzus,americanus,Cuculidae,Yellow-billed Cuckoo,3870,Adults first,,Adults first,250,330,Complete,,Sometimes,70,Small,Small,,,,,night,day,night,No,Yes,No,1000,400,37.6,short,,,584.2022884,-125.5507356,,,303.9136899,273.2253727
Gavia,adamsii,Gaviidae,Yellow-billed Loon,80,,,,,,Complete,,Sometimes,1000,Small,Small,Loose,,,,day,night,day,Yes,,Yes,200,200,12.1,short,,,,,,,,
Icteria,virens,Parulidae,Yellow-breasted Chat,6830,Adults first,,Adults first,190,340,Complete,Very limited residency reported,Sometimes,1,Small,Small,,,,,night,night,night,,No,No,26,2,32.3,short,3866.131225,5850.570178,-4472.472096,-1841.631925,6027.525495,3868.704568,370.5709553,265.7389582
Nyctanassa,violacea,Ardeidae,Yellow-crowned Night-Heron,2030,,,,,,Partial,,,,,,,,,,,,,,,,1,1,913,short,-4090.067298,2078.946026,-232.9973728,-384.8198977,4288.995721,4299.055253,2050.133564,4879.933458
Xanthocephalus,xanthocephalus,Icteridae,Yellow-headed Blackbird,4970,,,,,,Complete,Very limited residency reported,Yes,15,Small,Small,Loose,,,,day,,day,,Yes,Yes,8,8,1896,long,,,-768.1653693,1317.347166,,,1038.004863,1180.064497
Setophaga,coronata,Parulidae,Yellow-rumped Warbler,,,,,,,Partial,Audubon and Myrtle in banding,,,,,,,Sometimes,,night,night,night,,Yes,Yes,50,4,8.9,long,,,,,,,,
Vireo,flavifrons,Vireonidae,Yellow-throated Vireo,6280,,,,,,Complete,,No,,,Solo,,,,,night,night,night,,No,No,30,1,20.7,long,1328.885582,-17.52776471,-1969.893849,358.1083708,8683.415739,8702.817385,631.6812934,216.6972832
Setophaga,dominica,Parulidae,Yellow-throated Warbler,6630,,,,,,Partial,,No,8,,Solo,,,,,night,night,night,,Yes,Yes,25,2,7.5,short,,,329.0461933,2244.434167,,,1248.230974,503.3722439
Buteo,albonotatus,Accipitridae,Zone-tailed Hawk,3400,,,,,,Complete,Year-round in S. America.,Sometimes,3,Small,Small,,,,,,,,No,,No,,1,628,short,,,,,,,,
