"AOU","BBS_Lat_slope","BBS_Lon_slope","BBS_Lon_slope_Error","BBS_Lat_slope_Error"
5520,4484.33692540143,-762.578694380947,521.43162259417,473.639489410246
5540,3529.15492662199,3127.04476852076,1622.145306555,858.854606135223
5600,-3481.67400071769,8389.93775808098,375.389555682862,224.796941828371
5620,-307.577291602611,-1085.13713035642,1931.97646161373,501.437279571239
5630,-447.94258057768,-5302.85094857196,320.374410952476,127.505531335111
5650,-1043.21079603152,1875.11814785263,5936.4489973864,2288.0896817945
5730,3493.35691966992,-2518.91946618544,3506.3642368864,1217.0964939178
5850,-949.147746969999,-4394.81709155253,2859.38307876903,1128.44850276782
5870,-2448.23247520803,-4449.82794164299,415.612734720753,158.739042551964
5900,-181.703341559372,-1039.23897432593,2190.32550902668,328.206433440695
5950,-1128.51160034649,-5738.7725963095,524.07351941307,294.723263513572
5960,5945.54346372043,-18.09169116292,1765.88457962055,557.303964848917
5970,942.96813144305,-668.671721562098,430.966172451986,237.093988348053
6040,-84.8491202715753,-1308.25919699362,214.988764572715,331.996787856546
6050,-282.829616864839,-2049.26248019333,2504.18982093257,1676.37371671646
6070,2860.8512059501,76.8202391741918,1569.03451348069,625.432275750986
