"AOU","Genus","Species","CBC_dist","CBC_dist_error","Migration","Mig_distance","WithAdults","Flocks","FlocksWithAdults","Male_mass_g","Trend","Relative.Abundance","CBC_species","CBC_Tree_species","Habitat_specialism_score","Diet_specialism_score","Diet.5Cat","GenFLS","Order","SE"
1770,"Dendrocygna","autumnalis",26468.969452313,445990.404422876,"Partial","long","Yes","Yes","FlocksWithAdults",1426,6.25,4.09,"Dendrocygna autumnalis","Dendrocygna_autumnalis",50,90,"PlantSeed",2.075058561,"ANSERIFORMES",445990.404422876
1400,"Spatula","discors",1218.19903594273,1196462.37201095,"Complete","short","Yes","Yes","FlocksWithAdults",31.2,0.26,1.54,"Spatula discors","Anas_discors",100,60,"PlantSeed",2.026234033,"ANSERIFORMES",1196462.37201095
1410,"Spatula","cyanoptera",17888.4979762913,33266.9340050045,"Partial","short","Yes","Yes","FlocksWithAdults",1800,-0.89,0.6,"Spatula cyanoptera","Anas_cyanoptera",100,50,"PlantSeed",1.736307729,"ANSERIFORMES",33266.9340050045
1430,"Anas","acuta",19393.3902390115,7542.973824066,"Complete","long","Yes","Yes","FlocksWithAdults",1006,-2.61,1.15,"Anas acuta","Anas_acuta",70,50,"PlantSeed",3.306523085,"ANSERIFORMES",7542.973824066
1390,"Anas","crecca",19994.2114139373,4084.91844929142,"Partial","short","Yes","Yes","FlocksWithAdults",350,0.15,0.29,"Anas crecca","Anas_crecca",100,50,"PlantSeed",2.144349506,"ANSERIFORMES",4084.91844929142
1350,"Mareca","strepera",6475.07780970123,3301.28733735588,"Partial","short","Yes","Yes","FlocksWithAdults",770.5,1.7,2.4,"Mareca strepera","Anas_strepera",80,70,"PlantSeed",2.615589659,"ANSERIFORMES",3301.28733735588
1370,"Mareca","americana",14162.8871614313,4719.57948832258,"Complete","short","Yes","Yes","FlocksWithAdults",796.1,-1.51,0.95,"Mareca americana","Anas_americana",50,100,"PlantSeed",3.081024899,"ANSERIFORMES",4719.57948832258
1500,"Aythya","collaris",11904.2884529694,12545.3015601962,"Complete","long","Yes","Yes","FlocksWithAdults",1078,1.85,0.26,"Aythya collaris","Aythya_collaris",100,60,"PlantSeed",2.543666663,"ANSERIFORMES",12545.3015601962
1490,"Aythya","affinis",1202.75847244584,681717.495295838,"Complete","long","Yes","Yes","FlocksWithAdults",2725,-0.37,4.02,"Aythya affinis","Aythya_affinis",100,50,"PlantSeed",3.233127688,"ANSERIFORMES",681717.495295838
1440,"Aix","sponsa",7044.56214225243,2492.40578922103,"Partial","short","Yes","Yes","FlocksWithAdults",694,1.15,0.34,"Aix sponsa","Aix_sponsa",80,50,"PlantSeed",2.123768167,"ANSERIFORMES",2492.40578922103
1530,"Bucephala","albeola",4030.83257815554,31000.1661213121,"Complete","long","Yes","Yes","FlocksWithAdults",3232,3.43,0.3,"Bucephala albeola","Bucephala_albeola",100,70,"Invertebrate",4.122017644,"ANSERIFORMES",31000.1661213121
640,"Hydroprogne","caspia",15734.5194496984,16127.3502454216,"Partial","long","Yes","Yes","FlocksWithAdults",23.9,0.18,0.09,"Hydroprogne caspia","Sterna_caspia",80,80,"VertFishScav",9.749406689,"CHARADRIIFORMES",16127.3502454216
